Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
155,NASA/Ames Research Center/NAS,SGI,"SGI Altix 1.5/1.6/1.66 GHz, Voltaire Infiniband",United States,2008,13824,66567,82944,1478736,0,0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,SGI Altix,SGI Altix 3700,SuSE Linux Enterprise Server 9,None,MPP,Research,Not Specified,Mixed,Numalink/Infiniband,North America,Americas
156,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,10864,66371.5,127326,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
157,Logistics,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",Germany,2011,11728,66345.2,118687,0,0,370.79,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
158,Web Content Provider,Hewlett-Packard,"HP DL160 Cluster G6, Xeon E5640 2.53 GHz, GigE",United States,2011,12640,66225.1,127917,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
159,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",United States,2011,11988,66202.7,127552,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
160,IT Service Provider,Hewlett-Packard,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.2 Ghz, GigE",United Kingdom,2011,14556,65825.4,128093,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Cluster Platform 4000BL,Cluster Platform 4000 BL685c G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
161,Classified,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband",United States,2011,8496,65780,76803.8,0,0,236.45,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Classified,Defense,Infiniband,Infiniband,North America,Americas
162,Financial Institution,IBM,"xSeries x3650M3, Xeon X56xx 2.66 GHz, GigE",Japan,2011,11640,65591.7,123850,0,0,360.84,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
163,"Gdansk University of Technology, CI Task",ACTION,ACTION Xeon HP BL2x220/BL490 E5345/L5640 Infiniband,Poland,2011,10384,65588,97758,998000,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,ACTION Cluster,ACTION Cluster,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Europe,Europe
164,Internet Service,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",China,2011,11604,65389,117432,0,0,351.99,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
165,IBM Thomas J. Watson Research Center,IBM,NNSA/SC Blue Gene/Q Prototype 1,United States,2010,8192,65347,104858,434175,0,38.8,Power,Power BQC,1600,16,IBM BlueGene,BlueGene/Q,Linux,None,MPP,Research,Software,Custom,Custom,North America,Americas
166,Leibniz Rechenzentrum,IBM,"BladeCenter HX5, WM Xeon 10-core, 2.4 GHz, Infiniband",Germany,2011,8000,64860,76800,1099224,0,195,Intel EM64T,Intel EM64T Xeon E7-48xx (Westmere-EX),2400,10,IBM BladeCenter,"BladeCenter HX5, WM Xeon 6-core",Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Western Europe,Europe
167,NACAD/COPPE/UFRJ,Oracle,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Brazil,2009,6464,64630,72396.8,1405152,0,430,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,South America,Americas
168,Service Provider,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE",Japan,2011,14432,64596,130869,0,0,633.2,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Internet Provider,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
169,Georgia Institute of Technology,Hewlett-Packard,"HP ProLiant SL390s G7 Xeon 6C X5660 2.8Ghz, nVidia Fermi, Infiniband QDR",United States,2010,6048,63920,188092,524288,0,94.4,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,NVIDIA 2070,Cluster,Research,Research,Infiniband,Infiniband QDR,North America,Americas
170,Barcelona Supercomputing Center,IBM,"BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",Spain,2006,10240,63830,94208,0,0,0,Power,PowerPC 970,2300,2,IBM BladeCenter,BladeCenter JS21 CLuster,SuSE Linux Enterprise Server 9,None,Cluster,Academic,Medicine,Myrinet,Myrinet,Southern Europe,Europe
171,Banking (M),IBM,"xSeries x3850M2 Cluster Xeon QC GT 2.53 GHz, GigEthernet",United States,2011,11264,63720,113992,0,0,323.84,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3850 Cluster Xeon quad core,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
172,Saudi Aramco,Hewlett-Packard,"Cluster Platform 3000 BL280c G6, Xeon X5670 2.93Ghz, Infiniband QDR",Saudi Arabia,2010,6144,63420,72007,1130112,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL280c G6,Linux,None,Cluster,Industry,Energy,Infiniband,Infiniband QDR,Western Asia,Asia
173,Saudi Aramco,ClusterVision/Dell,"Dell PowerEdge M610 Cluster, Xeon X5670 2.93Ghz, Infiniband QDR",Saudi Arabia,2010,6144,63150,72007,1048704,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,None,Cluster,Industry,Energy,Infiniband,Infiniband QDR,Western Asia,Asia
174,Arrow Enterprise Computing Solutions,Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE",United States,2011,10314,63144.4,120880,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
175,Financial Institution (P),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",France,2011,13056,62751,118026,0,0,375.36,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
176,Banking (M),IBM,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband",United States,2010,6808,62729.5,72600.5,0,0,298.7,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM xSeries,xSeries x3650 Cluster Xeon quad core,Linux,None,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas
177,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE",United States,2011,10110,61943.8,118489,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
178,KTH - Royal Institute of Technology,Dell,"PowerEdge SC1435 Dual core Opteron 2.2 GHz, Infiniband",Sweden,2010,9800,61760,86024.4,1450624,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,2,Dell PowerEdge Cluster,PowerEdge SC1435,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
179,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,10056,61625.7,117856,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
180,Cray Inc.,Cray Inc.,Cray XE6 12-core 2.1 GHz,United States,2010,8640,60330,72576,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,None,MPP,Vendor,Benchmarking,Custom,Custom,North America,Americas
181,Lockheed Martin,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",United States,2011,6372,60313,67798,0,0,170.22,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Aerospace,Infiniband,Infiniband,North America,Americas
182,Lockheed Martin,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",United States,2011,6372,60313,67798,0,0,170.22,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Aerospace,Infiniband,Infiniband,North America,Americas
183,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 SL2x170z, Xeon L5680 3.33 GHz, Infiniband",United States,2011,5760,60193,76723.2,0,0,0,Intel EM64T,Intel EM64T Xeon X52xx (Wolfdale),3330,2,HP Cluster Platform 3000SL,Cluster Platform SL2x170z,Linux,None,Cluster,Industry,Logistic Services,Infiniband,Infiniband QDR,North America,Americas
184,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 SL2x170z, Xeon L5680 3.33 GHz, Infiniband",United States,2011,5760,60193,76723.2,0,0,0,Intel EM64T,Intel EM64T Xeon X52xx (Wolfdale),3330,2,HP Cluster Platform 3000SL,Cluster Platform SL2x170z,Linux,None,Cluster,Industry,Logistic Services,Infiniband,Infiniband QDR,North America,Americas
185,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 SL2x170z, Xeon L5680 3.33 GHz, Infiniband",United States,2011,5760,60193,76723.2,0,0,0,Intel EM64T,Intel EM64T Xeon X52xx (Wolfdale),3330,2,HP Cluster Platform 3000SL,Cluster Platform SL2x170z,Linux,None,Cluster,Industry,Logistic Services,Infiniband,Infiniband QDR,North America,Americas
186,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE",United Kingdom,2011,9768,59926.7,114481,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
187,NCAR (National Center for Atmospheric Research),IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2008,4064,59684.1,76403.2,0,0,649.51,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,North America,Americas
188,Financial Services (H),IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",United States,2011,10452,59126.9,122497,0,0,293.28,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
189,Financial Services (H),IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",United States,2011,10452,59126.9,122497,0,0,293.28,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
190,Computacenter (UK) LTD,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",United Kingdom,2010,11280,58705.6,112800,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
191,Classified,IBM,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband",United Kingdom,2011,6368,58675.3,67908.4,0,0,279.4,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM xSeries,xSeries x3650 Cluster Xeon quad core,Linux,None,Cluster,Classified,Defense,Infiniband,Infiniband,Northern Europe,Europe
192,IBM Thomas J. Watson Research Center,IBM,"Power 750, Power7 3.86 GHz, 10GigE",United States,2011,2560,58310,79053,0,0,120.56,Power,POWER7,3860,8,IBM pSeries,Power 750,AIX,None,MPP,Research,Benchmarking,Gigabit Ethernet,10G Ethernet,North America,Americas
193,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5520 2.26 GHz, Infiniband",United States,2011,8192,57554.5,74055.7,0,0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas
194,Wroclaw Centre for Networking and Supercomputing,Hewlett-Packard,"Cluster Platform 3000 BL2x220, X56xx 2.66 Ghz, Infiniband",Poland,2011,6348,57410,67542,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
195,Banking (M),IBM,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband",United States,2010,6048,56790.8,64350.7,0,0,141.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas
196,Universitaet Erlangen,NEC,"NEC LX-2400 Cluster, Xeon X5550 2.66 Ghz, Infiniband",Germany,2010,5880,56730,62563,0,0,160,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,NEC Cluster,NEC LX-2400,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
197,National Institute for Fusion Science (NIFS),Hitachi,"Hitachi SR16000 Model L2/128, Power6 4.7Ghz, Infiniband",Japan,2009,4096,56650,77004.8,1100000,0,645,Power,POWER6,4700,2,Hitachi SR16000,Hitachi SR16000 Model L2,AIX,None,MPP,Research,Research,Infiniband,Infiniband,Eastern Asia,Asia
198,Leibniz Rechenzentrum,SGI,Altix 4700 1.6 GHz,Germany,2007,9728,56520,62259.2,1583232,0,990.24,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,SGI Altix,SGI Altix 4700,SUSE Linux Enterprise Server 10,None,MPP,Academic,Not Specified,NUMAlink,NUMAlink,Western Europe,Europe
199,Web Company (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon E5620 2.4 Ghz, GigE",China,2011,11292,56414.8,108403,0,0,0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2400,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
200,ERDC DSRC,Cray Inc.,Cray XT4 QuadCore 2.1 GHz,United States,2008,8464,56250,71097,0,0,418.97,AMD x86_64,AMD x86_64 Opteron Quad Core,2100,4,Cray XT,Cray XT4 QuadCore,CNL,None,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
201,Internet Service,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",China,2011,9960,56125,100795,0,0,302.12,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
202,Internet Service,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",China,2011,9960,56125,100795,0,0,302.12,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
203,Internet Service,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",China,2011,9960,56125,100795,0,0,302.12,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
204,Service Provider,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE",Japan,2010,11640,55944.8,105552,0,0,510.71,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
205,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,9072,55804.7,106324,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
206,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,9072,55804.7,106324,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
207,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2011,6048,55727,67738,0,0,211.68,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
208,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2011,6048,55727,67738,0,0,211.68,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
209,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2011,6048,55727,67738,0,0,211.68,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
210,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2011,6048,55727,67738,0,0,211.68,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
211,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",United States,2011,10014,55722.1,106549,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
212,Classified,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",United Kingdom,2011,5880,55656,62563,0,0,157.08,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Classified,Defense,Infiniband,Infiniband,Northern Europe,Europe
213,Classified,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",United Kingdom,2011,5880,55656,62563,0,0,157.08,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Classified,Defense,Infiniband,Infiniband,Northern Europe,Europe
214,Classified,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",United Kingdom,2011,5880,55656,62563,0,0,157.08,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Classified,Defense,Infiniband,Infiniband,Northern Europe,Europe
215,Social NW Provider,Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5620 2.4 GHz, GigE",United States,2011,11120,55592,106752,0,0,0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2400,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
216,Digital Media,IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband",United States,2011,6752,55573.9,61227.1,0,0,187.89,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas
217,Web Content Provider,Hewlett-Packard,"HP DL160 Cluster G6, Xeon E5640 2.53 GHz, GigE",United States,2011,10480,55366.3,106058,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
218,Web Company (F),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE",United States,2011,9918,55208.2,105528,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
219,Web Company (F),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE",United States,2011,9918,55208.2,105528,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
220,Web Company (F),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE",United States,2011,9918,55208.2,105528,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
221,Indian Institute of Tropical Meteorology,IBM,"Power 575, p6 4.7 GHz, Infiniband",India,2010,3744,55110,70387.2,0,0,598.37,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Research,Infiniband,Infiniband,South-central Asia,Asia
222,Web Content Provider,Hewlett-Packard,"HP DL160 Cluster G6, Xeon E5620 2.4 GHz, GigE",United States,2011,11012,55075.1,105715,0,0,0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2400,4,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
223,Web Company (F),Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",United States,2011,10416,55041.7,105410,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
224,Web Company (F),Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",United States,2011,10416,55041.7,105410,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
225,Service Provider,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Japan,2011,9732,54840.2,98487.8,0,0,295.2,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Internet Provider,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
226,Service Provider,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Japan,2011,9732,54840.2,98487.8,0,0,295.2,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Internet Provider,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
227,Service Provider,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Japan,2011,9732,54840.2,98487.8,0,0,295.2,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Internet Provider,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
228,Web Content Provider(P),Hewlett-Packard,"Cluster Platform SL165z G7, Opteron 6174 2.2 Ghz, Infiniband",Germany,2011,12000,54806,105600,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Cluster Platform 3000SL,Cluster Platform SL165z G7,Linux,None,Cluster,Industry,WWW,Infiniband,Infiniband QDR,Western Europe,Europe
